id,time,total_blinks,ear
0,2021-12-15 22:42:47.751965,0,0.31
1,2021-12-15 22:42:48.845302,0,0.15
2,2021-12-15 22:42:49.885760,0,0.14
3,2021-12-15 22:42:50.877269,0,0.21
4,2021-12-15 22:42:51.853328,2,0.3
5,2021-12-15 22:42:52.913915,4,0.29
6,2021-12-15 22:42:54.023333,4,0.27
7,2021-12-15 22:42:54.999372,5,0.28
8,2021-12-15 22:42:55.981286,5,0.28
9,2021-12-15 22:42:56.977143,9,0.3
10,2021-12-15 22:42:57.955835,10,0.28
11,2021-12-15 22:42:58.935474,13,0.31
12,2021-12-15 22:43:00.007228,16,0.29
13,2021-12-15 22:43:00.999119,18,0.29
14,2021-12-15 22:43:02.029387,22,0.32
15,2021-12-15 22:43:03.051406,22,0.28
16,2021-12-15 22:43:04.061642,22,0.2
17,2021-12-15 22:43:05.131000,23,0.15
18,2021-12-15 22:43:06.103523,23,0.27
19,2021-12-15 22:43:07.111540,23,0.29
20,2021-12-15 22:43:08.071401,23,0.24
21,2021-12-15 22:43:09.047383,23,0.25
22,2021-12-15 22:43:10.091424,23,0.27
23,2021-12-15 22:43:11.089478,24,0.32
24,2021-12-15 22:43:12.097460,25,0.27
25,2021-12-15 22:43:13.103276,25,0.27
26,2021-12-15 22:43:14.119357,25,0.26
27,2021-12-15 22:43:15.245528,25,0.26
28,2021-12-15 22:43:16.343235,26,0.28
29,2021-12-15 22:43:17.361444,26,0.25
30,2021-12-15 22:43:18.369747,26,0.29
31,2021-12-15 22:43:19.365637,26,0.26
32,2021-12-15 22:43:20.350185,28,0.32
33,2021-12-15 22:43:21.309386,28,0.31
34,2021-12-15 22:43:22.257941,29,0.23
35,2021-12-15 22:43:23.198207,30,0.28
36,2021-12-15 22:43:24.147826,31,0.28
37,2021-12-15 22:43:25.372313,31,0.23
38,2021-12-15 22:43:26.397507,32,0.28
39,2021-12-15 22:43:27.327202,32,0.21
40,2021-12-15 22:43:28.226899,32,0.16
41,2021-12-15 22:43:29.642329,34,0.23
42,2021-12-15 22:43:30.542046,35,0.26
43,2021-12-15 22:43:31.510944,36,0.24
44,2021-12-15 22:43:32.481601,36,0.25
45,2021-12-15 22:43:33.485133,36,0.22
46,2021-12-15 22:43:34.471476,36,0.28
47,2021-12-15 22:43:35.495535,36,0.3
48,2021-12-15 22:43:36.493832,38,0.21
49,2021-12-15 22:43:37.515554,39,0.27
50,2021-12-15 22:43:38.537918,40,0.28
51,2021-12-15 22:43:39.541428,41,0.29
52,2021-12-15 22:43:40.505970,41,0.24
53,2021-12-15 22:43:41.501947,41,0.29
54,2021-12-15 22:43:42.493483,43,0.26
55,2021-12-15 22:43:43.479047,44,0.31
56,2021-12-15 22:43:44.503466,44,0.27
57,2021-12-15 22:43:45.610536,46,0.29
58,2021-12-15 22:43:46.669595,47,0.27
59,2021-12-15 22:43:47.761520,47,0.26
60,2021-12-15 22:43:48.814629,47,0.18
61,2021-12-15 22:43:50.027384,47,0.27
62,2021-12-15 22:43:51.030052,47,0.28
63,2021-12-15 22:43:52.022652,47,0.29
64,2021-12-15 22:43:53.012910,47,0.16
65,2021-12-15 22:43:53.933051,47,0.18
66,2021-12-15 22:43:55.038955,47,0.25
67,2021-12-15 22:43:56.200485,47,0.24
68,2021-12-15 22:43:57.227820,47,0.25
69,2021-12-15 22:43:58.185430,47,0.23
70,2021-12-15 22:43:59.266332,47,0.27
71,2021-12-15 22:44:00.260077,47,0.27
72,2021-12-15 22:44:01.210120,47,0.27
73,2021-12-15 22:44:02.119833,47,0.24
74,2021-12-15 22:44:03.039520,47,0.27
75,2021-12-15 22:44:03.949240,47,0.14
76,2021-12-15 22:44:04.848944,48,0.29
