time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
25,8.353370,-5.475539,-0.509965,0.078340,0.210239,0.104720
26,8.391677,-5.875371,-0.293290,0.010925,-0.016254,0.049029
27,8.450335,-5.401319,-1.276109,-0.023182,-0.112181,-0.249142
28,8.779537,-6.355408,-0.167594,-0.038637,-0.077008,-0.206508
29,8.646660,-5.498284,-1.053449,-0.056490,-0.012524,0.008527
30,8.741230,-5.889736,-0.404620,-0.029311,-0.038637,0.043433
31,8.629900,-5.468357,-0.969652,-0.022649,-0.107118,0.049562
32,8.728063,-5.761646,-0.794875,0.047164,-0.196116,0.138028
33,8.342596,-6.169858,-0.778116,-0.158012,0.077807,0.008527
34,8.355764,-6.156690,-1.132457,-0.064750,-0.002398,0.087400
36,8.225280,-6.548141,-0.784101,-0.128701,0.215035,0.191320
37,7.034164,-4.371812,-0.906205,0.790328,0.782067,0.522266
38,8.044518,-6.627151,1.988384,0.913966,-0.072478,0.184126
39,7.946355,-6.625953,-0.316035,0.481231,0.609666,0.835626
40,7.507020,-7.569269,2.759317,0.427139,0.383173,0.622190
41,7.054515,-7.162254,0.920571,0.194251,0.616328,0.972055
42,5.791574,-8.052897,2.098518,0.188122,-0.563835,0.049562
43,6.491878,-8.585608,2.225410,-0.201446,0.282184,0.909969
44,5.013458,-7.507020,1.965640,-0.268328,0.197715,0.989109
45,3.830723,-9.576807,2.354697,-0.312028,-0.225161,1.251308
46,2.096124,-7.574057,-0.418985,-0.149485,0.051427,0.315225
47,3.335123,-9.228451,1.321599,-0.416214,-0.819639,-1.454352
48,3.094506,-7.704541,2.813187,0.372781,0.633381,0.496686
49,2.820370,-8.268375,3.317167,1.573994,-0.661626,1.016821
50,2.163161,-7.711724,2.856283,0.863605,0.336276,0.504680
51,3.754108,-8.990228,3.658340,0.470306,-0.594744,-0.282983
52,2.831144,-7.666234,3.851074,0.511874,0.566499,0.734904
53,3.949236,-9.471462,3.933673,-0.095394,-0.965394,-0.832162
54,3.193865,-9.437943,5.251681,0.291243,0.391966,0.923293
55,1.946486,-7.776367,1.404199,-0.379443,0.231289,-0.696000
56,4.122815,-7.844602,3.508703,-0.375179,0.091930,-0.942478
58,4.944026,-10.019734,4.724957,0.668554,-0.111648,-0.027179
59,3.549404,-7.717709,4.297592,0.270992,0.247011,0.167871
60,3.593697,-8.066066,3.665523,-0.577691,-0.368518,-0.534257
61,4.206613,-9.568427,3.725378,0.116178,-0.135096,0.479100
62,5.273229,-5.222951,2.059013,0.152683,0.485761,0.356527
63,4.581305,-8.641871,7.747637,0.872665,-1.155648,-0.026913
64,2.212242,-7.126341,2.795230,0.109783,-0.470306,0.861207
65,3.842694,-10.160992,3.325546,-0.063951,-0.832162,-0.529194
66,3.659537,-10.070012,2.505532,-0.342671,0.330946,0.243280
67,4.045004,-7.331046,1.883040,-0.454585,0.694401,0.312294
68,2.656367,-8.742428,6.314707,0.446858,-0.098858,0.994438
69,1.867477,-7.345411,3.555390,-0.146021,0.576625,1.276888
70,-0.970849,-7.553706,3.180697,-0.111914,0.059155,0.718116
71,-0.122104,-9.876082,3.307590,-0.598208,-0.039170,0.011991
72,-0.011971,-9.021352,3.230975,-0.213969,0.492956,0.558505
73,-1.861492,-8.844181,2.973598,-0.128168,-0.270992,0.214236
74,-0.344765,-10.849325,1.760935,-0.204643,-0.638977,-0.351198
75,0.529119,-11.775881,3.991134,-1.038404,-0.571296,-0.456184
76,0.123301,-11.099519,1.453280,-2.008328,0.056224,0.220364
77,-0.305261,-9.082404,-2.297236,-1.498052,-0.269127,-0.653099
78,-0.453701,-9.388862,-0.432153,-0.912101,-1.326184,-1.467409
80,-1.155202,-9.034520,0.638055,-0.131100,-1.066116,0.237951
81,0.421380,-9.417592,-2.632425,0.007461,-0.600340,1.119142
82,-0.809240,-6.222530,-2.802413,-0.325084,-1.306466,-0.452453
83,1.625663,-6.623559,-3.805584,0.182527,-1.382141,-1.693636
84,3.319561,-10.309433,-2.347515,0.026646,-0.849216,-1.408521
85,3.834314,-7.461530,-5.797559,0.233954,-0.195850,-0.197715
86,4.728549,-9.279925,-4.552575,0.363188,-1.818606,-0.475636
87,3.094506,-8.440758,-4.443638,-0.097259,-1.701896,-0.578224
88,2.846706,-8.791509,-5.571307,0.119375,-1.290211,0.448456
89,2.621651,-7.861362,-6.587646,-0.316291,-1.732539,-1.093029
90,3.999514,-9.872491,-5.464766,0.039703,-1.691504,-0.987776
91,2.747346,-7.232883,-5.340267,0.699730,-0.820971,0.290711
92,2.845509,-8.582016,-5.558139,0.864937,-1.643541,-0.521467
93,3.247735,-10.764331,-5.355829,0.388502,-0.332545,0.095394
94,2.342726,-9.396045,-5.573701,0.137228,-0.719715,-0.253139
95,2.568978,-10.049662,-4.355053,-0.201446,0.323219,0.287247
96,2.094927,-7.789535,-5.509058,-0.464711,0.364787,-0.097525
97,2.018312,-9.036914,-5.155913,-0.271525,-0.715718,-0.487360
98,1.752556,-8.742428,-6.180632,-0.303501,-1.196417,0.170270
99,0.359130,-8.713697,-3.979163,-0.372515,-0.986178,0.266196
101,0.135272,-7.766790,-7.224504,-0.793259,-0.040769,0.016254
102,0.288501,-9.095572,-7.536947,-0.616061,-1.057057,-0.679746
103,1.200692,-9.136273,-7.742848,-0.661893,0.203577,0.761816
104,1.162385,-6.702568,-10.201694,0.544916,0.883856,1.801020
105,-1.537078,-9.109938,-5.462371,1.086367,1.620891,2.718450
106,-1.222240,-6.508637,-9.953894,-0.818040,1.406655,1.018686
107,-2.647987,-5.032612,-8.324639,-0.963262,-0.476701,0.025580
108,-3.027468,-3.363853,-6.851008,-0.626187,0.128168,-1.105286
109,-2.803610,-4.818331,-6.285976,0.893715,1.054659,0.682410
110,-0.667982,-7.158663,-9.074024,0.225694,0.104453,-0.617926
111,0.192733,-8.049306,-9.580399,-0.082337,0.041835,0.025047
112,-0.982820,-8.098388,-9.350554,-0.070879,-0.050361,0.217966
113,-1.432930,-7.899669,-7.559692,-0.333877,0.229691,0.258735
114,-2.067393,-5.471948,-8.661025,-0.177198,0.511608,0.879593
115,-1.994370,-6.245275,-9.115923,-0.033841,-0.038371,-0.006395
116,-2.029086,-5.729325,-9.279925,0.252340,-0.201979,-0.079672
117,-1.916559,-6.473921,-9.078813,0.392499,-0.204377,-0.084735
118,-2.081758,-6.740875,-8.559271,0.090331,-0.209440,-0.225694
119,-2.074576,-6.432023,-8.152257,-0.010925,-0.176931,-0.063152
120,-2.694674,-6.069301,-8.337808,0.223562,-0.214769,-0.347201
122,-0.969652,-7.996634,-8.519767,0.036772,0.064217,-0.639243
123,-0.715866,-7.504625,-8.602366,0.131632,0.205176,0.005329
124,-0.994791,-7.298724,-8.403648,-0.019452,0.079406,0.001865
125,-1.102530,-6.967127,-8.067263,-0.105786,0.203311,-0.016254
126,-0.871489,-6.895301,-7.837419,0.011191,0.272058,0.110848
127,-0.936133,-7.164649,-7.985860,0.149219,-0.085268,0.221164
128,-1.023521,-7.066486,-8.386889,0.217167,0.002665,0.464711
129,-1.461660,-5.221754,-8.599973,0.163608,-0.075142,0.314426
130,0.083797,-9.471462,-10.043676,-0.340539,-0.360790,-1.569198
131,-1.228225,-11.180922,-8.707711,0.378643,-1.888153,-0.255538
132,-4.304775,-0.661997,-3.459621,0.855877,1.566799,1.518037
133,0.525527,-4.294001,-7.304709,0.625387,0.734637,-1.149519
134,2.845509,-10.302250,-7.779958,0.143090,0.153216,-0.990175
135,1.290475,-9.769540,-6.847417,0.069014,-0.050095,0.286181
136,0.480037,-8.814254,-6.568492,-0.456184,-0.163874,0.179862
137,-0.050278,-7.826645,-7.890092,-0.203044,0.016521,0.592346
138,-0.403423,-7.949947,-7.916428,-0.060753,-0.411418,-0.163874
139,0.031125,-7.663840,-7.408857,0.264331,0.147620,0.159078
140,-0.052672,-8.118738,-6.767211,0.634181,-0.088732,-0.428472
142,0.266953,-9.235633,-5.914876,0.371982,0.986178,0.599541
143,0.114922,-7.521385,-7.771579,-0.457516,-0.528395,-0.181994
144,0.250194,-8.920795,-6.918046,-0.698931,-1.535623,-0.710123
145,-0.439336,-7.857770,-7.657854,-0.454585,-0.530260,-0.173467
146,-0.573411,-8.313866,-7.608773,-0.446591,-1.450622,-0.795923
147,-1.891419,-6.947973,-7.253234,-0.482830,-0.514273,-0.077008
148,-1.968034,-6.233304,-8.392874,-0.464711,-0.810312,-0.746361
149,-1.836353,-6.880936,-7.790732,-0.470839,-0.478567,-0.844420
150,-2.163161,-5.588067,-8.111555,-0.226493,0.050628,-0.407688
151,-2.166753,-5.446809,-9.168595,0.025314,-0.372515,-0.313893
152,-1.656788,-5.791574,-9.003395,0.226227,-0.106319,-0.403691
153,-1.349133,-5.710171,-8.766370,0.454052,-0.449522,-0.136695
154,-1.321599,-6.315904,-8.978256,0.464711,0.078074,0.856144
155,-0.768539,-6.776788,-10.421960,-0.042900,-0.395430,-0.507078
156,-0.055067,-7.963115,-8.790312,-0.396230,0.094061,-0.725844
157,1.381454,-6.026206,-9.254786,-0.034640,1.213204,0.613930
158,-1.838747,-5.315128,-8.021772,0.683743,-0.997636,-0.053026
159,-1.174356,-9.125500,-6.166266,0.249942,0.618459,-0.153749
160,-0.591368,-8.425196,-8.447941,0.373847,0.281651,0.329081
161,0.226252,-7.961918,-6.268020,-0.215835,0.813244,-0.539853
162,1.254562,-8.282741,-7.393295,0.313093,-0.386637,0.130567
164,1.035492,-8.799889,-6.685808,0.321087,0.265397,0.676015
165,0.435745,-7.852982,-7.897274,0.672285,-0.313093,0.240349
166,0.988805,-10.961852,-6.579266,-0.158812,-0.395963,-1.072511
167,-0.513556,-9.124303,-5.872977,0.057822,1.047464,0.720515
168,-0.466869,-9.637859,-7.623138,0.178530,0.075942,-0.083936
169,-0.634463,-9.923966,-3.153164,-0.119908,0.821770,0.421810
170,-0.604536,-6.809110,-8.625112,0.190521,1.759185,0.997103
171,-1.786075,-9.720459,-4.424485,0.460447,-0.323485,0.990175
172,-0.997185,-7.076063,-9.111135,-0.369583,1.364821,0.709323
173,-1.210269,-7.821857,-6.669049,-0.181461,-0.518802,-0.150551
174,-0.579397,-9.751583,-6.156690,-0.314959,0.118576,0.252606
175,-1.503559,-7.019799,-7.869741,-0.240083,0.898511,1.374680
176,-1.802834,-7.692570,-10.054450,0.284582,-1.247044,-1.330447
177,-1.753753,-9.221268,-3.527856,-0.031176,-0.097259,-1.065050
178,-0.429759,-8.544906,-7.767987,-0.024515,0.447657,-0.698398
179,-0.452504,-7.301118,-3.873818,0.029044,0.481231,-1.491124
180,0.319626,-9.090784,-3.670311,0.671485,0.307764,0.484429
181,-0.861913,-9.229648,-5.145139,0.674417,0.855345,0.488426
182,1.640028,-10.539276,-6.136339,0.250208,1.382940,0.225427
184,0.134075,-9.827001,-4.532224,0.509210,0.992839,-0.068214
185,0.278924,-9.818622,-2.330755,0.091663,1.388802,-0.321887
186,0.626084,-9.761160,-5.093664,-0.134564,0.808714,0.298704
187,3.058593,-10.916363,-5.335478,-0.651767,0.628319,-0.962196
188,-0.207098,-7.833828,-3.150769,0.649103,1.150585,0.643507
189,3.451242,-11.142614,-5.030218,-0.246211,-0.326417,-1.329381
190,3.373430,-10.187328,-2.226608,-0.366919,1.022683,0.344003
191,1.235408,-7.133524,-1.600524,0.339207,0.017587,0.344270
192,3.734955,-9.985018,-1.582567,-0.384239,-0.654165,-1.396530
193,1.902193,-9.133880,-2.774880,0.294175,0.652833,1.693103
194,2.409764,-8.722076,-4.976348,-0.012524,-0.787930,-1.219066
195,3.359065,-10.159795,-1.976413,0.088466,-0.059954,-0.151617
196,2.533065,-8.852561,-3.076549,0.056224,-0.777271,-0.597675
197,3.426103,-9.428367,-3.764882,0.126037,0.432469,0.862273
198,4.740520,-7.872135,-5.232528,0.168404,-1.339773,-0.907838
199,2.770091,-11.124659,-0.994791,0.247544,0.071145,0.820971
200,2.524686,-8.221688,-4.675876,-0.289378,0.281651,-0.343204
201,4.052186,-10.068815,-3.915717,0.095660,-0.269660,0.418613
202,2.079364,-9.807847,-4.114436,0.014655,-0.318689,0.693335
203,1.996764,-9.293094,-4.080917,-0.220631,-0.256337,-0.284049
205,1.114501,-10.569203,-2.207454,0.048763,-0.030643,0.657096
206,0.435745,-7.363368,-4.728549,0.459381,-0.229691,0.147620
207,1.757344,-10.699687,-2.304419,-0.040769,-0.896913,-1.455152
208,1.525106,-9.174581,-3.149572,0.070879,-0.136162,-0.019718
209,1.668759,-8.431181,-3.708618,-0.303501,-1.101822,-1.306998
210,2.771288,-9.737218,-4.097676,-0.438864,-0.589415,-0.608867
211,2.844312,-9.619903,-3.569755,0.458315,-2.187923,2.033375
212,0.554258,-8.456321,-4.068946,-1.416515,-0.053026,0.240882
213,2.063802,-10.269928,-5.043386,-1.335243,1.892150,-0.897446
214,2.382231,-9.160215,-6.612785,0.360790,0.804184,2.129035
215,0.914585,-7.976283,-7.765593,0.227559,0.339740,1.109816
216,-0.533907,-9.811439,-4.976348,-0.164407,-0.075675,0.583819
217,-1.169568,-5.701791,-6.946776,-0.128435,0.480165,0.940613
218,-1.124078,-7.432799,-7.413646,0.103654,-1.304334,-0.802851
219,-0.524330,-9.661801,-6.199785,0.241415,-1.732805,-0.721847
220,-0.666785,-8.640674,-7.174225,-0.199580,-1.102355,-0.272591
221,-0.723049,-9.090784,-5.819107,-0.572894,-0.848417,-0.454319
222,-0.858321,-8.617929,-7.272388,-0.580888,-0.504680,0.210505
223,-1.917756,-7.693767,-7.080852,0.144689,-0.962729,-0.265930
224,-1.825579,-8.109161,-7.596802,-0.185724,-0.726110,-0.547047
226,-2.679112,-6.983886,-7.874529,0.012257,-0.607534,0.125770
227,-0.677559,-9.053674,-6.764817,-0.368251,0.507078,-0.858009
228,-1.984793,-5.795165,-6.725313,0.692003,1.068248,0.280319
229,1.217452,-10.681731,-8.813056,0.146554,1.778904,-1.492989
230,1.534683,-8.954314,-6.657078,-0.312294,0.806049,-1.001100
231,-0.064643,-10.972627,-5.048174,-1.280352,1.440230,0.133498
232,9.136273,-8.092402,-5.876568,-2.046698,4.637779,2.013391
233,12.314576,-7.559692,-14.585477,-0.920361,-2.019786,1.526830
234,1.578976,-2.815581,-0.149638,-0.065816,-2.737902,-1.264098
235,-2.887407,-5.814319,-4.532224,2.177798,-0.784998,2.409887
236,-3.614048,-6.771999,-1.859098,0.336542,0.592080,-2.288646
237,8.495825,-12.494142,-9.436746,-1.228659,1.664591,-0.640309
238,7.422025,-7.354988,-11.253945,-0.842554,-1.546548,2.477302
239,-2.246958,-2.310405,-3.645172,-0.110848,-4.590615,2.279587
240,-8.927979,-0.021548,-3.399766,0.114845,1.433568,1.260634
